사고신고사유,사고일시,공정율,날씨,지역,공사종류,공사비,공종(소분류),사망자,내국인 사망자,외국인 사망자,남성 사망자,여성 사망자,10이상~20미만 사망자,20이상~30미만 사망자,30이상~40미만 사망자,40이상~50미만 사망자,50이상~60미만 사망자,60이상 사망자,부상자,내국인 부상자,외국인 부상자,남성 부상자,여성 부상자,10이상~20미만 부상자,20이상~30미만 부상자,30이상~40미만 부상자,40이상~50미만 부상자,50이상~60미만 부상자,60이상 부상자
3일이상 휴업이 필요한 부상,2019-07-01 13:40,30~39%,흐림,울산광역시,건축/건축물/교육연구시설,100억 ~ 150억원 미만,전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 14:00,60~69%,맑음,서울특별시,건축/건축물/판매시설,100억 ~ 150억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 16:00,10% 미만,맑음,경기도,건축/건축물/공장,"500억 ~ 1,000억원 미만",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-01 17:00,30~39%,흐림,충청남도,건축/건축물/공동주택,"1,000억원 이상",건축 토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 7:30,50~59%,맑음,경기도,건축/건축물/문화 및 집회시설,10억 ~ 20억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-02 7:30,50~59%,맑음,경상남도,건축/건축물/공동주택,"1,000억원 이상",전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-02 7:30,10% 미만,맑음,경상북도,토목/항만/기타,200억 ~ 300억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-02 7:40,60~69%,맑음,경상북도,건축/건축물/업무시설,5억 ~ 10억원 미만,철골공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 9:10,20~29%,맑음,경기도,산업환경설비/환경시설/하수처리시설,300억 ~ 500억원 미만,토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 9:30,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-02 10:00,90% 이상,맑음,서울특별시,건축/건축물/공동주택,150억 ~ 200억원 미만,전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 11:00,10~19%,흐림,경기도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 11:00,90% 이상,맑음,대구광역시,건축/건축물/공동주택,"1,000억원 이상",해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 11:15,90% 이상,맑음,전라남도,토목/도로/도로,300억 ~ 500억원 미만,토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-02 12:00,60~69%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 13:30,50~59%,맑음,경상북도,토목/도로/기타,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-02 14:00,50~59%,맑음,경기도,토목/도로/기타,"2,000만 ~ 4,000만원 미만",토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-02 14:50,60~69%,맑음,세종특별자치시,조경/수목원,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-02 15:30,50~59%,맑음,경기도,건축/건축물/자동차 관련시설,300억 ~ 500억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-02 15:45,70~79%,맑음,경기도,토목/교량/철도교량,300억 ~ 500억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-03 10:10,30~39%,흐림,경기도,건축/건축물/업무시설,150억 ~ 200억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-03 10:20,60~69%,맑음,충청북도,토목/상하수도/하수도,5억 ~ 10억원 미만,관공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 10:30,60~69%,맑음,경기도,건축/건축물/교육연구시설,"1,000만원 미만",건축물 부대공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 10:55,50~59%,맑음,경기도,토목/상하수도/하수도,50억 ~ 100억원 미만,관공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 11:00,10~19%,안개,전라남도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
"1000만원 이상의 재산피해, 3일이상 휴업이 필요한 부상",2019-07-03 11:00,70~79%,맑음,전라남도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 14:10,90% 이상,맑음,경상북도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-03 14:30,30~39%,강우,경기도,건축/건축물/종교시설,20억 ~ 50억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-03 14:30,80~89%,맑음,경상북도,토목/상하수도/상수도,10억 ~ 20억원 미만,관공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 14:30,80~89%,흐림,충청북도,건축/건축물/공장,200억 ~ 300억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-03 15:00,80~89%,맑음,경기도,건축/건축물/공동주택,20억 ~ 50억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-03 15:00,30~39%,맑음,서울특별시,건축/건축물/문화 및 집회시설,300억 ~ 500억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 15:10,60~69%,맑음,대전광역시,건축/건축물/교육연구시설,100억 ~ 150억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-03 16:00,90% 이상,맑음,경기도,건축/건축물/공장,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 16:40,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
사망 1명 이상,2019-07-03 20:15,40~49%,맑음,부산광역시,건축/건축물/업무시설,10억 ~ 20억원 미만,전기설비공사,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 7:30,90% 이상,흐림,경기도,건축/건축물/근린생활시설,50억 ~ 100억원 미만,철골공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-04 7:40,90% 이상,맑음,인천광역시,건축/건축물/근린생활시설,"2,000만 ~ 4,000만원 미만",해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
사망 1명 이상,2019-07-04 8:00,70~79%,맑음,강원도,건축/건축물/공동주택,300억 ~ 500억원 미만,해체 및 철거공사,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 9:00,70~79%,흐림,경기도,건축/건축물/공장,5억 ~ 10억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-04 9:07,10~19%,맑음,충청북도,건축/건축물/교육연구시설,300억 ~ 500억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-04 9:30,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",방수공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-04 10:00,50~59%,맑음,전라북도,건축/건축물/업무시설,10억 ~ 20억원 미만,미장공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 11:20,60~69%,맑음,경상남도,토목/항만/방파제,200억 ~ 300억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 11:30,80~89%,안개,충청북도,건축/건축물/공장,100억 ~ 150억원 미만,토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 13:40,60~69%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
"사망 1명 이상, 3일이상 휴업이 필요한 부상",2019-07-04 14:23,30~39%,맑음,서울특별시,건축/건축물/근린생활시설,1억 ~ 2억원 미만,해체 및 철거공사,1,1,0,0,1,0,1,0,0,0,0,3,3,0,1,2,0,0,1,0,0,2
"3일이상 휴업이 필요한 부상, 기타",2019-07-04 15:00,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-04 16:10,10% 미만,맑음,경기도,건축/건축물/공동주택,50억 ~ 100억원 미만,건축 토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-04 16:40,40~49%,흐림,경기도,건축/건축물/업무시설,"500억 ~ 1,000억원 미만",철골공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-04 16:45,80~89%,맑음,경기도,건축/건축물/공장,"1,000억원 이상",전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 18:10,50~59%,맑음,부산광역시,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-05 8:30,40~49%,맑음,경상남도,건축/건축물/문화 및 집회시설,20억 ~ 50억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 10:00,90% 이상,맑음,인천광역시,토목/터널/철도터널,"500억 ~ 1,000억원 미만",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-05 11:00,90% 이상,맑음,부산광역시,건축/건축물/근린생활시설,"2,000만 ~ 4,000만원 미만",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-05 11:25,20~29%,맑음,인천광역시,건축/건축물/업무시설,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 11:30,90% 이상,맑음,대전광역시,조경/기타,2억 ~ 3억원 미만,하천공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-05 11:40,80~89%,강우,경기도,건축/건축물/공동주택,150억 ~ 200억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 11:50,90% 이상,맑음,전라남도,건축/건축물/관광 휴게시설,1억 ~ 2억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-05 12:50,20~29%,맑음,충청남도,산업환경설비/발전시설,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-05 13:10,70~79%,안개,인천광역시,건축/건축물/업무시설,"500억 ~ 1,000억원 미만",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-05 13:30,90% 이상,맑음,경상북도,건축/건축물/기타,100억 ~ 150억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-05 13:30,80~89%,맑음,충청북도,건축/건축물/종교시설,200억 ~ 300억원 미만,건축물 부대공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-05 15:00,90% 이상,맑음,경기도,건축/건축물/교육연구시설,50억 ~ 100억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 15:05,30~39%,흐림,울산광역시,건축/건축물/근린생활시설,20억 ~ 50억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 15:40,30~39%,맑음,서울특별시,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-05 16:00,90% 이상,맑음,전라북도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",건축 토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-05 16:20,80~89%,맑음,경기도,건축/건축물/공장,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-06 8:25,10~19%,흐림,경기도,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-06 9:30,70~79%,흐림,경기도,건축/건축물/공동주택,3억 ~ 5억원 미만,조적공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-06 10:10,90% 이상,맑음,경상북도,건축/건축물/공동주택,"1,000억원 이상",건축물 부대공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-06 11:00,10% 미만,맑음,경상남도,건축/건축물/기타,5억 ~ 10억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
사망 1명 이상,2019-07-06 13:49,60~69%,맑음,경기도,토목/도로/도로,200억 ~ 300억원 미만,토공사,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-06 14:00,70~79%,흐림,경기도,건축/건축물/공동주택,150억 ~ 200억원 미만,미장공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-06 14:00,10~19%,흐림,광주광역시,산업환경설비/환경시설/공공폐수처리시설,100억 ~ 150억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-06 14:42,90% 이상,맑음,대전광역시,건축/건축물/근린생활시설,3억 ~ 5억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0
3일이상 휴업이 필요한 부상,2019-07-06 14:48,40~49%,맑음,전라북도,건축/건축물/교육연구시설,100억 ~ 150억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-06 15:00,20~29%,맑음,경상남도,건축/건축물/교육연구시설,100억 ~ 150억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-06 16:20,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-06 16:25,40~49%,맑음,전라북도,건축/건축물/공장,150억 ~ 200억원 미만,수장공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-07 7:40,90% 이상,맑음,인천광역시,건축/건축물/업무시설,300억 ~ 500억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
사망 1명 이상,2019-07-07 11:50,10% 미만,맑음,경상북도,토목/옹벽 및 절토사면/절토사면,1억 ~ 2억원 미만,기타,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-07 15:00,20~29%,흐림,충청남도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-08 7:20,70~79%,흐림,서울특별시,건축/건축물/교육연구시설,50억 ~ 100억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-08 7:35,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-08 8:00,40~49%,맑음,충청남도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 8:10,10~19%,맑음,강원도,건축/건축물/노유자시설,100억 ~ 150억원 미만,전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 8:30,10% 미만,흐림,경상남도,건축/건축물/업무시설,50억 ~ 100억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 8:30,30~39%,맑음,충청북도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 9:00,40~49%,맑음,경상남도,건축/건축물/문화 및 집회시설,200억 ~ 300억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 9:00,70~79%,맑음,전라남도,토목/상하수도/하수도,50억 ~ 100억원 미만,관공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-08 9:05,10% 미만,맑음,인천광역시,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-08 10:00,10~19%,흐림,강원도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-08 10:00,40~49%,맑음,경기도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",타일 및 돌공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
"사망 1명 이상, 3일이상 휴업이 필요한 부상",2019-07-08 10:25,90% 이상,흐림,서울특별시,건축/건축물/업무시설,200억 ~ 300억원 미만,기타,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 13:30,90% 이상,맑음,경상북도,토목/도로/기타,"500억 ~ 1,000억원 미만",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-08 14:30,70~79%,맑음,서울특별시,건축/건축물/노유자시설,10억 ~ 20억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 15:00,20~29%,맑음,인천광역시,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-08 15:00,70~79%,흐림,인천광역시,건축/건축물/공동주택,300억 ~ 500억원 미만,미장공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-08 15:00,80~89%,맑음,전라북도,건축/건축물/공동주택,200억 ~ 300억원 미만,미장공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-08 16:30,90% 이상,맑음,경기도,토목/상하수도/하수도,300억 ~ 500억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-09 7:00,20~29%,맑음,경상남도,건축/건축물/교육연구시설,100억 ~ 150억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-09 7:30,80~89%,맑음,제주특별자치도,토목/도로/도로,50억 ~ 100억원 미만,교량공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-09 8:30,10~19%,맑음,대전광역시,건축/건축물/교육연구시설,200억 ~ 300억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
